CAMPOS DE INGRESO RAYPAC;;;;;;;;;;;;;;;;;;;;
N°;FECHA DE RECEPCIÓN;REPARACIÓN/PRESUPUESTO;CLIENTE;N° DE SERIE ;MODELO DE MÁQUINA;TIPO DE MÁQUINA;N° DE BATERÍA;N° DE CARGADOR;DIAGNÓSTICO DE INGRESO;COMERCIAL RESPONSABLE;MAIL DE COMERCIAL RESPONSABLE;N° DE REMITO;;;;;;;;
1;16-08-25;REPARACIÓN;BAYER;24000052;ITA24;A BATERIA;NO APLICA;NO APLICA;NO SELLA;Ezequiel Pacheco;ezequiel.pacheco@raypac.net;2561;;;;;CT20;NO APLICA;ABBOTT;REPARACIÓN
;;;;;;;;;;;;;;;;;CT25;;ALUAR;PRESUPUESTO
;;;;;;;;;;;;;;;Ezequiel Pacheco;ezequiel.pacheco@raypac.net;CT40;A BATERIA;ANDREANI;
;;;;;;;;;;;;;;;Leonardo Gastager;leonardo.gastager@raypac.net;CTT20;MANUAL;BAYER;
;;;;;;;;;;;;;;;Luciana Gregorio;luciana.gregorio@raypac.net;CTT25;NEUMÁTICA;Cartocor;
;;;;;;;;;;;;;;;Luciana Paradiso;luciana.paradiso@raypac.net;CTT40;OTRO;CASTELLI;
Dato correlativo partiendo del N° 1 de forma automática;Acá va la fecha, si el sistema esta en hora debe sugerir la fecha del día;ELEGIR DEL DESPLEGABLE;Nombre del cliente;Ingreso manual del N° de serie de la maquina;Elegir del desplegable el modelo de máquina;Elegir según desplegable;Colocar el número de bateria manualmente o bien elegir la opción NO APLICA;Colocar el número de cargador manualmente o bien elegir la opción NO APLICA;Ingreso manual de diagnostico con el que llega la máquina a RAYPAC de acuerdo a la información que brinda el cliente;Acá se selecciona del desplegable;Acá se selecciona del desplegable o bien se relaciona segun el nombre asociado al comercial que se elige de forma automática;Cuando Raypac va a enviar la máquina a Service debe cargar el N° de remito de envío;;;Daniela Sofio;daniela.sofio@raypac.net;ITA10;;CONARCO;
;;;;;;;;;;;;;;;Hernán Rivero;hernan.rivero@raypac.net;ITA11;;CYKLOP;
;;;;;;;;;;;;;;;Matias Chaubell;matias.chaubell@raypac.net;ITA12;;DERIPLOM;
;;;;;;;;;;;;;;;Paola Isanelli;paola.isabelli@raypac.net;ITA20;;EGGER;
;;;;;;;;;;;;;;;Romina Gamarra;romina.gamarra@raypac.net;ITA21;;FAMIQ;
;;;;;;;;;;;;;;;;;ITA24;;FLAMIA;
;;;;;;;;;;;;;;;;;ITA25;;GEMEZ;
;;;;;;;;;;;;;;;;;;;GENERAL PLASTICS ;
;;;;;LA INFORMACIÓN SE PUEDE EDITAR LAS VECES QUE FUERA NECESARIO, PEO SIEMPRE DEBE VOLVER A GRABASRSE AL FINALIZAR;;;;;;;;;;;;;;HENKEL ARG.;
;;;;;;;;;;;;;;;;;;;HIDRO ARG;
;;;;;;;;;;LA INFORMACIÓNQUEDA FREEZADA Y YA NO SE PODRÁ EDITAR DE FORMA DIRECTA, PARA EDITAR SE DEBERÁ INGRESAR UN CODIGO O CONTRASEÑA DE DESPLOBUEO.;;;;;;;;;HILADOS S.A.;
;;;;;;;;;;;;;;;;;;;ILVA;
;;;;;;;;;;;;;;;;;;;INDUSTRIAS LEAR;
;;;;;;;;;;;;;;;;;;;JL;
;;;;;;;;;;;;;;;;;;;LA ELENENSE;
;;;;;;;;;;;;;;;;;;;LA MORALEJA;
;;;;;;;;;;;;;;;;;;;M.DON DAVID;
;;;;;;;;;;;;;;;;;;;MABXINCE;
;;;;;;;;;;;;;;;;;;;MECALUX;
;;;;;;;;;;;;;;;;;;;MESUCAN;
;;;;;;;;;;;;;;;;;;;NUTRIN;
;;;;;;;;;;;;;;;;;;;ONTEC FORTINOX;
;;;;;;;;;;;;;;;;;;;PILKINTON;
;;;;;;;;;;;;;;;;;;;PLUDEL;
;;;;;;;;;;;;;;;;;;;RAYPAC;
;;;;;;;;;;;;;;;;;;;SADEPAN;
;;;;;;;;;;;;;;;;;;;SEDAPIC;
;;;;;;;;;;;;;;;;;;;SOTIC;
;;;;;;;;;;;;;;;;;;;STEL S.A.;
;;;;;;;;;;;;;;;;;;;TIGRE ARG.;
;;;;;;;;;;;;;;;;;;;TIGRE ARGENTINA;
;;;;;;;;;;;;;;;;;;;VIDRIERIA ARG.;
;;;;;;;;;;;;;;;;;;;VITOPEL;
