FICHA;0000500;CAMPOS DE INGRESO DML;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE INGRESO A  DML;TÉCNICO;ESTADO GENERAL;;OBSERVACIÓN;DIAGNÓSTICO DE REPARACIÓN;REPUESTOS COLOCADOS;;;;;MECANIZADO;HORAS ADICIONALES;HORAS ADICIONALES;ESTADO;N°  DE CICLOS;FECHA DE EGRESO;N° DE REMITO DML;;;;;;;;;;;;;;;
22-ago;RICARDO;PARTES DEL EQUIPO;ESTADO ;MAQUINA CON VARIOS DETALLES;REPUESTOS COLOCADOS;CÓDIGO;DESCRIPCIÓN;CANTIDAD;EN STOCK;EN FALTA;NO APLICA;;NO APLICA;A LA ESPERA DE REVISIÓN;10200;25-ago;258;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;A LA ESPERA DE REPUESTOS;NO APLICA;;RICARDO
;;ESTADO DEL EQUIPO;BUENO;;;D006120;WEAR PLATE;1;VERDADERO;;;;;;;;;;BUENO;BUENO;CON TORNILLOS FALTANTES;CON TORNILLOS FALTANTES;OK;A PROBAR;CON DIENTES FALTANTES;A PROBAR;DESGASTADO;DESGASTADO;A LA ESPERA DE REVISIÓN;;;DAVID
;;CARCAZA;CON TORNILLOS FALTANTES;;;A000180;WELDING GROUP ASSEMBLED;1;;;;;;;;;;;EXCELENTE;CON TORNILLOS FALTANTES;FALTANTE;GOLPEADO;ROTO;FUNCIONAMIENTO OK;DESGASTADA;FALTANTE;FALTANTE;FALTANTE;EN REPARACIÓN;;;
;;CUBRE FEEDWHEEL;FALTANTE;;;B500273;SCREW TCEI M3X10 UNI 5931;2;;;;;;;;;;;MALO;EXCELENTE;GOLPEADO;OK;SIN FUNCIONAR;NO FUNCIONA;FALTANTE;OK;OK;OK;MÁQUINA ENTREGADA;;;
;;MANGO;OK;;;;;;;;;;;;;;;;OK;MALO;OK;RAJADO;;;OK;ROTO;;ROTO;MÁQUINA LISTA PARA RETIRAR;;;
;;BOTONES ;OK;;;;;;;;;;;;;;;;REGULAR;OK;RAJADO;ROTO;;;ROTA;TRABADO;;;;;;
;;MOTOR DE ARRASTRE;A PROBAR;;;;;;;;;;;;;;;;;RAJADA;ROTO;;;;SIN FILO;;;;;;;
;;MOTOR DE SELLADO;A PROBAR;;;;;;;;;;;;;;;;;REGULAR;;;;;;;;;;;;
;;CUCHILLA;DESGASTADA;;;;;;;;;;;;;;;;;ROTA;;;;;;;;;;;;
;;SERVO;A PROBAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;RUEDA DE ARRASTRE;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;RESORTE DE MANIJA;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;OTROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
