CODIGO;ITEM
A000006;HT TENSION MOTOR GROUP
A000007;LT TENSION MOTOR GROUP
A000038;WELDING GROUP
A000062;CUTTER (ITA 40)
A000097;SIGNALS CARD WITH LIGHT TRANSP
A000155;SUSPENSION HOOK ITA40-24-25
A000177;ITA25 TENSION MOTOR GROUP
A000178;ITA24 TENSION MOTOR GROUP
A000179;CONNECTING ROD ASS.Y
A000180;WELDING GROUP ASSEMBLED
A000181;EXCENTRIC SHAFT ASSEMB.
A000184;ASSEMBLED FEEDWHEEL SUPPORT
A000185;CONNECTING LEVER ASS Y
A000237;EXCENTRIC SHAFT
A000238;WELDING GROUP ASSEMBLED REVIS
A002000;MAIN FRAME ASSY
A002040;CONNECTING ROD ASS.Y
A002070;WELDING FOOT SUPPORT ASS.Y
A004650;WELDING FOOT SUPPORT ASS.Y
A800511;ASS. DRIVE A6030-Z25 -SERVO
B100032;PIPE 6X8 (Len.mtrs) (ITA 40)
B100310;SWING ELBOW RL31 8 1/4 (ITA 40)
B100311;ORING
B200308;FAST AIR CONN. ANI 64MF 8X10
B300019;O-RING GASKET RING
B300019L;O-RING GASKET RING
B300022;O-RING 3300 D85
B300428;O-RING 103
B300429;O-RING 101
B400001;ROLLER BEARING BK0810 (IT 10/12)
B400003;ROLLER HK0808
B400186;BEARING 61808-RS1
B400187;ROLLER BEARING 5X8X8
B400188;INA HF0812
B400332;609 ZZ SKF
B400333;BEARING 61902ZZ
B400480;HK1214
B500035;SCREW TCEI M4X10 UNI5931
B500036L;SCREW
B500037;SCREW TCEI M4X8 UNI 5931
B500039;SCREW TCEI UNC 10X1/2'
B500041;SCREW TCEI M4X30 UNI5931
B500044;SCREW TCEI M4X45UNI5931
B500048;SCREW TPSCE M4X6 UNI5933
B500049;SCREW TCEI M4X6 DIN 7984
B500068;SCREW TCEI M3X8 UNI5931
B500092;"SCREW UNC 1/4X1-1/2"" (ITA 40)"
B500140;SCREW TCEI M5X30 UNI5931
B500202;VITE TCEI M4X20 UNI5931
B500208;SCREW TBCR BN13577 3,5X20 KA35
B500211;LOCK. WASHER - ITA 25
B500214;SCREW TPSCE M4X8UNI5933
B500273;SCREW TCEI M3X10 UNI 5931
B500275;SCREW TCI M2X10 UNI 6107
B500336;SCREW TSPCE M4X10 UNI 5933
B500379;SCREW STEI M4X5 UNI 5923
B500395;SCREW 3.5X16
B500418;SCREW UNC 10-24X3/8' ANSI B18.3
B500464;SCHNORR W.R150 DIAM.3 - ITA 25
B500465;SCREW TCEI M5X14 UNI5931
B500522;SCREW TBCR BN13577 3,5X30 KA35
B500523;CYLINDER SCREW M3x6 UNI5931
B500524;SCREW TBIC M5X10 UNI7687
B500548;SCREW STEI M4X8 UNI 5923
B600013;CIRCLIP NACIONALES
B600059;CUP WASHE CB 25x12,2x1,5 (10/12)
B600112;WASHER PS12X18X0.5 DIN988
B600159;CIRCLIP A12 DIN 471
B600189;CIRCLIP RA3.2 DIN6799
B600190;CIRCLIP D8 7435
B600192;SAFETY CIRCLIPS D4 BN13193
B600343;SPRING G13-025 ISO10243
B600345;CIRCLIP D34 UNI 7435
B600376;WASHER PS 15X21X0.5
B600389;WASHER PS 22x30x0,2
